id,season,city,date,team1,team2,toss_winner,day_night,toss_decision,result,dl_applied,winner,team1_score,team2_score,team1_wicket_fall,team2_wicket_fall,team1_overs_play,team2_overs_play,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,country
1370353,2023,Ahmedabad,2023/05/29,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,Night,field,D/L,1,Chennai Super Kings,214,171,4,5,20/20,15/15,0,5,DP Conway,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,RJ Tucker,KN Ananthapadmanabhan,India
1370352,2023,Ahmedabad,2023/05/26,Gujarat Titans,Mumbai Indians,Mumbai Indians,Night,field,normal,0,Gujarat Titans,233,171,3,10,20/20,18.1/20,62,0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,RJ Tucker,J Madanagopal,India
1370351,2023,Chennai,2023/05/24,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,Night,bat,normal,0,Mumbai Indians,182,101,8,10,20/20,16.3/20,81,0,Akash Madhwal,"MA Chidambaram Stadium, Chepauk, Chennai",BNJ Oxenford,VK Sharma,CB Gaffaney,India
1370350,2023,Chennai,2023/05/23,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Night,field,normal,0,Chennai Super Kings,172,157,7,10,20/20,20/20,15,0,RD Gaikwad,"MA Chidambaram Stadium, Chepauk, Chennai",AK Chaudhary,CB Gaffaney,BNJ Oxenford,India
1359543,2023,Mumbai,2023/05/21,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Day/Night,field,normal,0,Mumbai Indians,200,201,5,2,20/20,18/20,0,8,C Green,"Wankhede Stadium, Mumbai",KN Ananthapadmanabhan,RJ Tucker,R Pandit,India
1359544,2023,Bengaluru,2023/05/21,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,Night,field,normal,0,Gujarat Titans,197,198,5,4,20/20,19.7/20,0,6,Shubman Gill,"M Chinnaswamy Stadium, Bengaluru",Nitin Menon,VK Sharma,Tapan Sharma,India
1359542,2023,Kolkata,2023/05/20,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,Night,field,normal,0,Lucknow Super Giants,176,175,8,7,20/20,20/20,1,0,N Pooran,"Eden Gardens, Kolkata",J Madanagopal,UV Gandhe,YC Barde,India
1359541,2023,Delhi,2023/05/20,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Day/Night,bat,normal,0,Chennai Super Kings,223,146,3,9,20/20,20/20,77,0,RD Gaikwad,"Arun Jaitley Stadium, Delhi",CB Gaffaney,NA Patwardhan,AK Chaudhary,India
1359540,2023,Dharamsala,2023/05/19,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Night,field,normal,0,Rajasthan Royals,187,189,5,6,20/20,20/20,0,4,D Padikkal,"Himachal Pradesh Cricket Association Stadium, Dharamsala",A Nand Kishore,RJ Tucker,Navdeep Singh,India
1359539,2023,Hyderabad,2023/05/18,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Night,field,normal,0,Royal Challengers Bangalore,186,187,5,2,20/20,19.2/20,0,8,V Kohli,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",BNJ Oxenford,VK Sharma,HAS Khalid,India
1359538,2023,Dharamsala,2023/05/17,Delhi Capitals,Punjab Kings,Punjab Kings,Night,field,normal,0,Delhi Capitals,213,198,2,8,20/20,20/20,15,0,RR Rossouw,"Himachal Pradesh Cricket Association Stadium, Dharamsala",KN Ananthapadmanabhan,MV Saidharshan Kumar,RJ Tucker,India
